category,type,difficulty,question,correct_answer,incorrect_answers
Geography,multiple,medium,Which state of the United States is the smallest?,Rhode Island ,"[""Maine"", ""Vermont"", ""Massachusetts""]"
General Knowledge,boolean,hard,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True,"[""False""]"
Science: Gadgets,multiple,medium,"Out of all of the NASA Space Shuttles, which 2 have been destroyed in disasters?",Challenger and Columbia,"[""Enterprise and Atlantis"", ""Discovery and Endeavour"", ""None of the Above""]"
Entertainment: Film,multiple,easy,"In the Lord of the Rings: The Two Towers, where are the party of orcs taking the hobbits?",Isengard,"[""Rivendell"", ""Mordor"", ""Moria""]"
General Knowledge,multiple,easy,What do sailors call the left side of a boat?,Port,"[""Starboard"", ""Bow"", ""Stern""]"
History,multiple,hard,What year was the United States Declaration of Independence signed?,1776,"[""1775"", ""1774"", ""1777""]"
Entertainment: Video Games,multiple,easy,Who in this list is one of the co-founders of Valve?,Gabe Newell,"[""Robin Walker"", ""Marc Laidlaw"", ""Ray Ueno""]"
Art,multiple,hard,What was the major distinction between the English and French Gothic styles of architecture?,Fan vaulting,"[""Pinnacles"", ""Gargoyles"", ""Hemispherical Domes""]"
Entertainment: Video Games,multiple,easy,What was the original name of Crash Bandicoot?,Willie Wombat,"[""Coco Bandicoot"", ""Marvelous Mole"", ""Wally Wombat""]"
Science: Computers,multiple,medium,Which of the following is a personal computer made by the Japanese company Fujitsu?,FM-7,"[""PC-9801"", ""Xmillennium "", ""MSX""]"
Entertainment: Video Games,multiple,medium,"In Minecraft, what types of sound files are required for custom SFX to work in resource packs?",.ogg,"["".wav"", "".mp3"", "".class""]"
Geography,multiple,medium,How many sovereign states are members of the United Nations?,195,"[""201"", ""153"", ""178""]"
Entertainment: Music,multiple,medium,Which chain restaurant increased sales after it was mentioned in the 2016 Beyonc&eacute; song: &quot;Formation&quot;?,Red Lobster,"[""Outback Steakhouse"", ""TGI Fridays"", ""Applebee&#039;s""]"
Entertainment: Video Games,multiple,easy,"In the game &quot;Hearthstone&quot;, what is the best rank possible?",Rank 1 Legend,"[""Rank 1 Elite"", ""Rank 1 Master"", ""Rank 1 Supreme""]"
Entertainment: Video Games,multiple,easy,"Which of the following Pokemon Types was present in the original games, Red and Blue?",Ice,"[""Steel"", ""Dark"", ""Fairy""]"
General Knowledge,multiple,medium,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,"[""A mall with no stores"", ""A mall that has been condemed"", ""A mall after business hours""]"
Entertainment: Video Games,multiple,medium,In the &quot;Neptunia&quot; series which nation does Neptune rule over?,Planeptune,"[""Lastation"", ""Leanbox"", ""Lowee""]"
Geography,multiple,hard,Which of these island countries is located in the Caribbean?,Barbados,"[""Fiji"", ""Maldives"", ""Seychelles""]"
Entertainment: Film,multiple,easy,Which movie released in 2016 features Superman and Batman fighting?,Batman v Superman: Dawn of Justice,"[""Batman v Superman: Superapocalypse"", ""Batman v Superman: Black of Knight"", ""Batman v Superman: Knightfall""]"
Entertainment: Video Games,multiple,easy,What is the title of song on the main menu in Halo?,Halo,"[""Opening Suite"", ""Shadows"", ""Suite Autumn""]"
Sports,multiple,hard,Which of these NHL players have never won a Hart Trophy for Regular Season MVP?,Steve Yzerman,"[""Chris Pronger"", ""Jose Theodore"", ""Henrik Sedin""]"
Entertainment: Books,multiple,hard,Which of the following is NOT a work done by Shakespeare?,Trial of Temperance,"[""Measure For Measure"", ""Titus Andronicus"", ""Cymbeline""]"
Entertainment: Video Games,multiple,medium,"In the video game DOTA 2, which of these is NOT a hero?",Dragon Champion,"[""Dark Seer"", ""Keeper of the Light"", ""Mirana""]"
Entertainment: Video Games,boolean,medium,"In the canon &quot;Neptunia&quot; games, Neptune is always the main protagonist.",False,"[""True""]"
General Knowledge,multiple,easy,What step in cellular respiration forms ATP?,Oxidative Phosphorylation,"[""Glycolysis"", ""Pyruvate Oxidation"", ""Calvin Cycle""]"
Geography,multiple,hard,What is the tallest mountain in Canada?,Mount Logan,"[""Mont Tremblant"", ""Whistler Mountain"", ""Blue Mountain""]"
Entertainment: Video Games,multiple,medium,Which city hosted the CS:GO Dreamhack Open 2015?,Cluj-Napoca,"[""Cologne"", ""Atlanta"", ""London""]"
Art,multiple,hard,"When was Salvador Dali&#039;s painting, &quot;The Persistence of Memory,&quot; completed?",1931,"[""1932"", ""1929"", ""1934""]"
Entertainment: Music,multiple,hard,Who won the 1989 Drum Corps International championships?,Santa Clara Vanguard,"[""Blue Devils"", ""The Academy"", ""The Bluecoats""]"
History,multiple,medium,Who crowned Charlemagne as Holy Roman Emperor on Christmas Day in 800?,Pope Leo III,"[""Pope Urban IV"", ""Pope Stephen V"", ""Pope Valentine""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,In &quot;Shakugan no Shana&quot; what was the Shana usually referred as?,Flame-Haired Burning-Eyed Hunter,"[""Flame Haze"", ""Flame-Haired Burning-Eyed Haze"", ""Shana""]"
General Knowledge,multiple,easy,Which of these holidays is NOT usually celebrated in the month of December?,Thanksgiving,"[""Christmas"", ""Kwanzaa"", ""Hanukkah""]"
Sports,multiple,medium,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,"[""Benetton"", ""Ferrari"", ""Mercedes""]"
Entertainment: Video Games,multiple,medium,What is Solid Snake&#039;s real name?,David,"[""Solid Snake"", ""John"", ""Huey""]"
Entertainment: Video Games,multiple,medium,How many Wii consoles were sold worldwide?,"101,630,000","[""67,000,000"", ""148,000,000"", ""80,000,000""]"
Entertainment: Music,multiple,hard,Which of these songs was released in 1996?,The Smashing Pumpkins - &quot;1979&quot;,"[""Prince - &quot;1999&quot;"", ""James Blunt - &quot;1973&quot;"", ""David Bowie - &quot;1984&quot;""]"
Entertainment: Video Games,multiple,medium,What was the FIRST Valve game to have VR?,The Lab,"[""Dota 2"", ""Destinations"", ""Half-Life 2""]"
General Knowledge,multiple,hard,Nephelococcygia is the practice of doing what?,Finding shapes in clouds,"[""Sleeping with your eyes open"", ""Breaking glass with your voice"", ""Swimming in freezing water""]"
Entertainment: Video Games,multiple,medium,Which of these blocks in &quot;Minecraft&quot; has the lowest blast resistance?,Sand,"[""End Stone"", ""Water"", ""Wood Planks""]"
Mythology,multiple,hard,"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",Aristaeus,"[""Autonoe"", ""Carme"", ""Cephisso""]"
Entertainment: Video Games,multiple,easy,"In the video game Overwatch, which playable character is infamous for saying &quot;It&#039;s high noon.&quot;?",McCree,"[""Hanzo"", ""Pharah"", ""Soldier: 76""]"
Entertainment: Video Games,multiple,medium,Who is the main character of &quot;Metal Gear Solid 3&quot;?,Naked Snake,"[""Solid Snake"", ""Liquid Snake"", ""Venom Snake""]"
Entertainment: Film,multiple,medium,"In the 1984 movie &quot;The Terminator&quot;, what model number is the Terminator portrayed by Arnold Schwarzenegger?",T-800,"[""I-950"", ""T-888"", ""T-1000""]"
Science: Gadgets,multiple,medium,What was the first Infinity Coaster in the world and where is it located?,"The Smiler, Alton Towers, UK","[""Madagascar Mad Pursuit, Motiongate Dubai, UAE"", ""Gold Rush, Slagharen, Netherlands "", ""Monster, Adventureland Altoona, USA""]"
Politics,multiple,medium,Which of the following Argentinian presidents was elected in 2015?,Mauricio Macri,"[""Cristina Fernandez de Kirchner"", ""Nestor Kirchner"", ""Juan Domingo Peron""]"
Entertainment: Music,boolean,medium,The band &quot;Panic! At the Disco&quot; has released 4 albums total,False,"[""True""]"
Entertainment: Film,multiple,easy,"In the movie Gremlins, after what time of day should you not feed Mogwai?",Midnight,"[""Evening"", ""Morning"", ""Afternoon""]"
Entertainment: Video Games,multiple,easy,Who is the creator of the Super Smash Bros. Series?,Masahiro Sakurai,"[""Reggie Fils-Aim&eacute;"", ""Bill Trinen"", ""Hideo Kojima""]"
Entertainment: Television,multiple,hard,What is the Klingon&#039;s afterlife called?,Sto-vo-kor,"[""Valhalla"", ""Karon&#039;gahk"", ""New Jersey""]"
Sports,multiple,hard,What is the full name of the footballer &quot;Cristiano Ronaldo&quot;?,Cristiano Ronaldo dos Santos Aveiro,"[""Cristiano Ronaldo los Santos Diego"", ""Cristiano Armando Diego Ronaldo"", ""Cristiano Luis Armando Ronaldo""]"
Science &amp; Nature,boolean,easy,Salt is 100% composed of Sodium.,False,"[""True""]"
Science &amp; Nature,multiple,hard,Which is not a type of neuron?,Perceptual Neuron,"[""Sensory Neuron"", ""Motor Neuron"", ""Interneuron""]"
Science &amp; Nature,multiple,easy, What is the chemical symbol for Helium?,He,"[""H"", ""Hg"", ""Hs""]"
Entertainment: Musicals &amp; Theatres,multiple,hard,"After England, more Shakespeare plays are set in this present day country than in any other.",Italy,"[""United States"", ""Greece"", ""France""]"
Entertainment: Comics,multiple,medium,What is the designation given to the Marvel Cinematic Universe?,Earth-199999,"[""Earth-616"", ""Earth-10005"", ""Earth-2008""]"
Geography,multiple,hard,What is the name of one of the Neo-Aramaic languages spoken by the Jewish population from Northwestern Iraq?,Lishana Deni,"[""Hulaul&aacute;"", ""Lishan Didan"", ""Chaldean Neo-Aramaic""]"
Entertainment: Music,multiple,easy,Which Disney character sings the song &quot;A Dream is a Wish Your Heart Makes&quot;?,Cinderella,"[""Belle"", ""Snow White"", ""Pocahontas""]"
Entertainment: Video Games,boolean,easy,The main antagonist in the videogame Saints Row IV is an entity known as The Mastermind.,False,"[""True""]"
Sports,multiple,easy,What is the most common type of pitch thrown by pitchers in baseball?,Fastball,"[""Slowball"", ""Screwball"", ""Palmball""]"
Science &amp; Nature,multiple,medium,What was the first living creature in space?,Fruit Flies ,"[""Monkey"", ""Dog"", ""Mouse""]"
Entertainment: Video Games,multiple,hard,"In &quot;Magicka&quot;, which two elements are combined to cast the spell, &quot;Nullify&quot;?",Arcane + Shield,"[""Lightning + Shield"", ""Lightning + Life"", ""Arcane + Life""]"
General Knowledge,multiple,easy,Which language is most widely spoken in Switzerland?,German,"[""French"", ""Italian"", ""Swiss""]"
Entertainment: Video Games,multiple,medium,What level do you have to be to get a service medal on CS:GO?,40,"[""50"", ""30"", ""20""]"
Entertainment: Video Games,multiple,medium,"In the &quot;Ace Attorney&quot; series, what is the relationship between Apollo Justice and Trucy Wright?",They&#039;re half-siblings,"[""They&#039;re co-workers"", ""They&#039;re friends"", ""They&#039;re both attorneys""]"
Entertainment: Books,multiple,medium,Mary Shelley is the author of what classic horror story?,Frankenstein,"[""Dracula"", ""Strange Case of Dr Jekyll and Mr Hyde"", ""The Legend of Sleepy Hollow""]"
Entertainment: Video Games,multiple,medium,Which of these is the name of a cut enemy from &quot;Half-Life 2&quot;?,Hydra,"[""Cthulu"", ""Spike"", ""Tremor""]"
Science: Computers,multiple,hard,What internet protocol was documented in RFC 1459?,IRC,"[""HTTP"", ""HTTPS"", ""FTP""]"
History,multiple,hard,Which of the following physicists did NOT work on the Manhattan project?,Murray Gell-Mann,"[""Richard Feynman"", ""J. Robert Oppenheimer"", ""John Von-Neumann""]"
Entertainment: Video Games,multiple,easy,How many Chaos Emeralds are there in the &quot;Sonic the Hedgehog&quot; universe?,7,"[""6"", ""8"", ""14""]"
Entertainment: Music,multiple,medium,&quot;Drink the Sea&quot; is an album by which electronic music artist?,The Glitch Mob,"[""Avicii"", ""XXYYXX"", ""Flux Pavilion""]"
Entertainment: Board Games,multiple,medium,What letter is used to refer to blue mana in the card game Magic The Gathering?,U,"[""B"", ""L"", ""E""]"
Science: Computers,boolean,medium,Early RAM was directly seated onto the motherboard and could not be easily removed.,True,"[""False""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,What studio animated Fullmetal Alchemist?,Bones,"[""Trigger"", ""Pierrot"", ""xebec""]"
General Knowledge,multiple,medium,"Which famed architect, who died in 2019 aged 102, designed the glass pyramid at the Louvre museum in Paris?",I. M. Pei,"[""Pascale Gu&eacute;dot"", ""Frank Gehry"", ""Wang Shu""]"
Entertainment: Board Games,multiple,easy,"In a standard game of Monopoly, what colour are the two cheapest properties?",Brown,"[""Green"", ""Yellow"", ""Blue""]"
Entertainment: Video Games,multiple,medium,"Without enchantments, which pickaxe in minecraft mines blocks the quickest.",Golden ,"[""Diamond"", ""Iron"", ""Obsidian""]"
Entertainment: Film,boolean,easy,Actor Tommy Chong served prison time.,True,"[""False""]"
Geography,multiple,hard,With which country does France share its largest land border,Brazil,"[""Germany"", ""Spain"", ""Canada""]"
History,multiple,hard,"During the Roman Triumvirate of 42 BCE, what region of the Roman Republic was given to Lepidus?",Hispania ,"[""Italia"", ""Gallia"", ""Asia""]"
Geography,multiple,medium,Which of the following is not a megadiverse country - one that harbors a high number of the earth&#039;s endemic species?,Thailand,"[""Peru"", ""Mexico"", ""South Africa""]"
Entertainment: Video Games,multiple,medium,"In Portal, what color is the Intelligence Core?",Blue,"[""Purple"", ""Red"", ""Orange""]"
Entertainment: Television,multiple,medium,What is the name of the inspector in the series &quot;On the Buses&quot;?,Blakey,"[""Harper"", ""Naily"", ""Gally""]"
Science: Mathematics,boolean,medium,The set of all algebraic numbers is countable.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,"In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the &quot;Tactical Nuke&quot; killstreak?",25,"[""20"", ""30"", ""35""]"
Science: Computers,multiple,easy,Which programming language shares its name with an island in Indonesia?,Java,"[""Python"", ""C"", ""Jakarta""]"
Entertainment: Music,multiple,easy,"Which Daft Punk album is the song &quot;Harder, Better, Faster, Stronger&quot; from?",Discovery,"[""Homework"", ""Random Access Memories"", ""Human After All""]"
Entertainment: Books,multiple,hard,"In the book &quot;The Martian&quot;, how long was Mark Watney trapped on Mars (in Sols)?",549 Days,"[""765 Days"", ""401 Days"", ""324 Days""]"
History,multiple,medium,What was the bloodiest single-day battle during the American Civil War?,The Battle of Antietam,"[""The Siege of Vicksburg"", ""The Battle of Gettysburg"", ""The Battles of Chancellorsville""]"
Entertainment: Comics,multiple,hard,Which of the following rings from the DC Comics&#039; &quot;Lantern Corps&quot; are classified as Parasitic?,Indigo (Compassion),"[""Green (Willpower)"", ""White (Life)"", ""Yellow (Fear)""]"
Entertainment: Television,multiple,easy,The &quot;Psycho&quot; series of videos on YouTube was created by which of the following?,RiDGiD STUDiOS,"[""Dan Bell"", ""Billy Familia"", ""VeganGainz""]"
Geography,multiple,hard,Which of these cities has a 4&deg; East longitude. ,Amsterdam,"[""Rio de Janero"", ""Toronto"", ""Hong Kong""]"
Entertainment: Video Games,boolean,medium,Mortal Kombat was almost based on Jean-Claude Van Damme movie.,True,"[""False""]"
History,multiple,medium,What is the name given to the series of confrontations between the UK and Iceland over North Atlantic fishing rights?,The Cod Wars,"[""The Lobster Wars"", ""The Halibut Wars"", ""The Mackerel Wars""]"
Vehicles,multiple,hard,What car manufacturer gave away their patent for the seat-belt in the interest of saving lives?,Volvo,"[""Ferrari"", ""Ford"", ""Renault""]"
General Knowledge,multiple,medium,What character was once considered to be the 27th letter of the alphabet?,Ampersand,"[""Interrobang"", ""Tilde"", ""Pilcrow""]"
Sports,boolean,easy,Shaquille O&rsquo;Neal has only made one three pointer in his career.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,"In the world strategy game &#039;Sid Meier&#039;s Civilization&#039;, a programming bug caused the AI depiction of Gandhi to do which of the following?",Become aggressive and launch nuclear strikes,"[""Begin speaking in German "", ""Become friendly and trade his entire wealth"", ""Launch attacks on his own cities and assets""]"
General Knowledge,multiple,medium,"Out of these four buildings, which one is the tallest, with a height of 1,250 ft (381 m)?","Empire State Building, United States","[""Bank of China Tower, Hong Kong"", ""Federation Tower, Russia"", ""Gevora Hotal, United Arab Emirates""]"
General Knowledge,multiple,easy,What organ of the body produces bile?,Liver,"[""Gallbladder"", ""Pancreas"", ""Stomach""]"
General Knowledge,multiple,easy,"The New York Times slogan is, &ldquo;All the News That&rsquo;s Fit to&hellip;&rdquo;",Print,"[""Digest"", ""Look"", ""Read""]"
General Knowledge,multiple,medium,Which is the most popular spoken language in the Southern Hemisphere?,Portuguese,"[""English "", ""Spanish"", ""French""]"
Science &amp; Nature,multiple,hard,Which of the following is NOT a real element?,Vitrainium,"[""Praseodymium"", ""Hassium"", ""Lutetium""]"
Entertainment: Video Games,boolean,easy,&quot;Metal Gear Solid 3: Snake Eater&quot; was released in 2004.,True,"[""False""]"
Politics,multiple,medium,What are the first names of the first father and son pair that were both Prime Ministers of Canada?,Justin and Pierre,"[""John and Louis"", ""Brian and Justin"", ""Brian and Pierre""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,"What is the cartoon character, Andy Capp, known as in Germany?",Willi Wakker,"[""Dick Tingeler"", ""Helmut Schmacker"", ""Rod Tapper""]"
Entertainment: Music,multiple,medium,"Which musical group won the Brit Awards in 1985, with George Michael as a member?",Wham!,"[""Frankie Goes to Hollywood"", ""U2"", ""Culture Club""]"
History,boolean,medium,Franz Joseph I was the last emperor of Austria.,False,"[""True""]"
Entertainment: Japanese Anime &amp; Manga,boolean,easy,The name of the attack &quot;Kamehameha&quot; in Dragon Ball Z was named after a famous king of Hawaii.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,"In &quot;Super Mario World 2: Yoshi&#039;s Island&quot;, which of these colors is NOT represented by a Yoshi?",White,"[""Purple"", ""Brown"", ""Red""]"
Science &amp; Nature,multiple,medium,An organism described as &quot;heliotropic&quot; has a tendancy to move towards which of these things?,Light,"[""Water"", ""Trees"", ""Pollen""]"
Entertainment: Video Games,multiple,hard,"In Super Smash Bros. for Nintendo 3DS and Nintendo Wii U, who was the sixth fighter to be added to the game post-launch?",Corrin,"[""Cloud"", ""Bayonnetta"", ""Ryu""]"
Entertainment: Video Games,multiple,hard,"In &quot;The Binding of Isaac&quot;, which item instantly kills Mom and Mom&#039;s Heart?",The Bible,"[""The Halo"", ""Brimstone"", ""Book of Shadows""]"
Science &amp; Nature,multiple,medium,The Axiom of Preventive Medicine states that people with ___ risk for a disease should be screened and we should treat ___ of those people.,"low, all","[""low, some"", ""high, all"", ""high, some""]"
Sports,multiple,medium,Who was the top scorer of the 2014 FIFA World Cup?,James Rodr&iacute;guez,"[""Thomas M&uuml;ller"", ""Lionel Messi"", ""Neymar""]"
Entertainment: Video Games,multiple,medium,Which survivor in Left 4 Dead sacrificed themself to save the other survivors?,Bill,"[""Louis"", ""Francis"", ""Zoey""]"
Geography,boolean,easy,St. Louis is the capital of the US State Missouri.,False,"[""True""]"
Celebrities,multiple,hard,What was the religion of famous singer &quot;Freddie Mercury&quot;?,Zoroastrianism,"[""Paganism"", ""Ashurism"", ""Judaism""]"
Mythology,multiple,medium,Neptune&#039;s greek name was...,Poseidon,"[""Ares"", ""Zeus"", ""Apollo""]"
General Knowledge,boolean,medium,The Original Jack-o-Lanterns were actually hollowed out turnips.,True,"[""False""]"
Entertainment: Comics,multiple,hard,"In 1978, Superman teamed up with what celebrity, to defeat an alien invasion?",Muhammad Ali,"[""Mike Tyson"", ""Sylvester Stallone"", ""Arnold Schwarzenegger""]"
Entertainment: Video Games,multiple,easy,"In the 2002 video game &quot;Kingdom Hearts&quot;, how many Keyblades are usable?",18,"[""13"", ""16"", ""15""]"
Entertainment: Film,multiple,easy,Which James Bond film had the theme song written and performed by English singer-songwriter Adele?,Skyfall,"[""Casino Royale"", ""Quantum Solace"", ""Spectre""]"
Entertainment: Comics,multiple,easy,In &quot;Homestuck&quot; the &quot;Kingdom of Darkness&quot; is also known as?,Derse,"[""Skaia"", ""Prospit"", ""The Medium""]"
Entertainment: Comics,multiple,hard,When was the Garfield comic first published?,1978,"[""1982"", ""1973"", ""1988""]"
Entertainment: Video Games,boolean,easy,"In &quot;Super Mario 64&quot;, collecting 100 coins on a level will give you a 1-UP.",False,"[""True""]"
Entertainment: Books,multiple,medium,"Of the following, which Stephen King novel was published earliest?",&quot;Cujo&quot;,"[""&quot;Misery&quot;"", ""&quot;Christine&quot;"", ""&quot;IT&quot;""]"
History,multiple,hard,Who assassinated President James A. Garfield?,Charles Guiteau,"[""Sirhan Sirhan"", ""Leon Czolgosz"", ""John Wilkes Booth""]"
Entertainment: Video Games,multiple,hard,"In &quot;Earthbound&quot;, how does one enter &quot;Master Belch&#039;s&quot; factory?",Wait 3 Minutes,"[""Enter the password &quot;Fly Honey&quot;"", ""Enter the password &quot;Master Belch Rules&quot;"", ""Enter the password &quot;Mr Saturn Drools&quot;""]"
Entertainment: Video Games,multiple,hard,Which game in the &quot;Halo&quot; series has the strongest iteration of the shotgun?,Halo: Combat Evolved,"[""Halo 2"", ""Halo 3"", ""Halo: Reach""]"
Entertainment: Music,multiple,easy,Of which 90s boy band was Justin Timberlake a member?,*NSYNC,"[""Backstreet Boys"", ""Westlife"", ""Boyzone""]"
History,boolean,medium,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,True,"[""False""]"
Entertainment: Board Games,multiple,medium,"In &quot;Magic: The Gathering&quot;, what instant card has the highest converted mana cost?",Blinkmoth Infusion,"[""Vitalizing Wind"", "" Chant of Vitu-Ghazi"", ""Assert Authority""]"
Geography,multiple,easy,Which of the following languages does NOT use the Latin alphabet?,Georgian,"[""Turkish"", ""Swahili"", ""Vietnamese""]"
Science &amp; Nature,multiple,easy,How many moons does Pluto have?,Five,"[""Two"", ""Three"", ""One""]"
Sports,multiple,medium,Which soccer team won the Copa Am&eacute;rica 2015 Championship ?,Chile,"[""Argentina"", ""Brazil"", ""Paraguay""]"
Entertainment: Television,multiple,medium,What breed of dog is &quot;Scooby Doo&quot;?,Great Dane,"[""Pit bull"", ""Boxer"", ""Doberman Pinscher""]"
Entertainment: Video Games,boolean,easy,&quot;Resident Evil 7&quot; is the first first-person Resident Evil game.,False,"[""True""]"
Science: Gadgets,multiple,medium,When was the compact disc player first released?,1982,"[""1983"", ""1981"", ""1980""]"
Entertainment: Video Games,multiple,medium,What is the punishment for playing Postal 2 in New Zealand?,"10 years in prison and a fine of $50,000","[""Fine of $5,000"", ""Nothing"", ""15 years in prison and a fine of $10,000""]"
Entertainment: Music,multiple,medium,When was the 3rd album &quot;Notes from the Underground&quot; of the band &quot;Hollywood Undead&quot; released?,2013,"[""2011"", ""2014"", ""2009""]"
General Knowledge,multiple,easy,What is the currency of India and Pakistan as well as a few other Asian countries?,Rupee,"[""Riyal"", ""Peso"", ""Dinar""]"
Entertainment: Television,multiple,medium,What year was Netflix founded?,1997,"[""1999"", ""2004"", ""2001""]"
Entertainment: Video Games,boolean,medium,"In &quot;League of Legends&quot;, there exists four different types of Dragon.",False,"[""True""]"
General Knowledge,multiple,easy,The &ldquo;fairy&rdquo; type made it&rsquo;s debut in which generation of the Pokemon core series games?,6th,"[""2nd"", ""7th"", ""4th""]"
Entertainment: Music,multiple,hard,On which Beatles album would you find the song &#039;Eleanor Rigby&#039;?,Revolver,"[""Help!"", ""Rubber Soul"", ""Abbey Road""]"
Entertainment: Video Games,multiple,hard,"In World of Warcraft lore, which of the following is known as the God of Spiders in the troll&#039;s loa beliefs?",Elortha no Shadra,"[""Bwonsamdi"", ""Hakkar"", ""Shirvallah""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,"Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?",Anthropomorphic,"[""Anthropolegic "", ""Anthrologic"", ""Anthrogenetic""]"
General Knowledge,multiple,medium,What is the Swedish word for &quot;window&quot;?,F&ouml;nster,"[""H&aring;l"", ""Sk&auml;rm"", ""Ruta""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In the &quot;Re:Zero&quot; manga series, which of the following Sin Archbishops eats Rem&#039;s existence?",Ley Batenkaitos,"[""Roy Alphard"", ""Petelgeuse Romanee-Conti"", ""Louis Arneb""]"
History,multiple,hard,What was the real name of the Albanian national leader Skanderbeg?,Gjergj Kastrioti,"[""Diturak Zhulati"", ""Iskander Bejko"", ""Mirash Krasniki""]"
